# author: Jens Bertram <code@jens-bertram.net>
# sources:	http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_engl.pdf?__blob=publicationFile
#			http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_dt.pdf?__blob=publicationFile
# last changed: 02.01.2012
# language_id; language_code; name_en; name_de
454;und;Undetermined;Nicht zu entscheiden 
455;urd;Urdu;Urdu 
456;uzb;Uzbek;Usbekisch 
457;vai;Vai;Vai-Sprache 
458;ven;Venda;Venda-Sprache 
459;vie;Vietnamese;Vietnamesisch 
460;vol;Volapük;Volapük 
461;vot;Votic;Wotisch 
462;wak;Wakashan languages;Wakash-Sprachen 
463;wal;Walamo;Walamo-Sprache 
464;war;Waray;Waray 
465;was;Washo;Washo-Sprache 
466;wel;Welsh;Washo-Sprache 
467;wen;Sorbian languages;Sorbisch 
468;wln;Walloon;Wallonisch 
469;wol;Wolof;Wolof-Sprache 
470;xal;Kalmyk, Oirat;Kalmückisch 
471;xho;Xhosa;Xhosa-Sprache 
472;yao;Yao;Yao-Sprache 
473;yap;Yapese;Yapesisch 
474;yid;Yiddish;Jiddisch
475;yor;Yoruba;Yoruba-Sprache 
476;ypk;Yupik languages;Ypik-Sprachen 
477;zap;Zapotec;Zapotekisch 
478;zbl;Blissymbols, Blissymbolics, Bliss;Bliss-Symbol 
479;zen;Zenaga;Zenaga 
480;zha;Zhuang, Chuang;Zhuang 
481;znd;Zande languages;Zande-Sprachen 
482;zul;Zulu;Zulu-Sprache 
483;zun;Zuni;Zuñi-Sprache 
484;zxx;No linguistic content, Not applicable;Kein linguistischer Inhalt 
485;zza;Zaza, Dimili, Dimli, Kirdki, Kirmanjki, Zazaki;Zazaki
486;@U;Unknown;Unbekannt 
